"Best4.Enterocytes","Enterocytes","Enteroendocrine","Goblet","Stem","TA"
3352,2354,2995,2770,2808,2842
1658,1510,1159,1525,1538,1554
1207,1077,909,1199,1111,1182
4356,5401,3514,5077,4473,4965
6672,8453,6324,8027,6849,6778
10309,9716,11720,9818,10894,10364
9254,12412,7075,9625,9585,10286
4473,4070,5916,3701,4010,4012
3165,2676,3681,2682,3390,3225
6110,7268,5795,5380,5877,6084
4558,4157,2754,4350,4166,4340
3028,3080,2068,2325,2824,2886
1502,1346,983,1251,1310,1403
1788,1642,1372,1655,1496,1487
5811,6169,4506,3419,5691,5966
11718,13415,10236,9036,11443,11485
7363,8541,5165,6909,7645,7868
11643,11215,9207,11922,11068,10770
10635,11701,10144,10263,10126,10478
5055,4505,7344,5644,5819,5187
1618,1149,1409,1203,1341,1344
8451,9510,8317,8686,8631,8895
6084,4417,8892,6177,6142,5759
6575,4186,5841,5116,5656,5428
3657,4716,3236,3903,4452,4323
3863,4049,3013,4635,3553,3476
1659,1610,964,1950,1639,1629
1941,1876,2503,2023,1989,1954
1650,2017,1326,1665,1842,2014
4568,4503,3051,3946,4333,4476
3112,2870,3486,2405,2850,3060
2614,2389,3820,2728,2792,2637
1995,1676,2207,2405,2086,2071
1161,1163,575,1150,1189,1305
2388,1894,1623,1816,2213,2186
1438,1422,983,1322,1399,1310
3376,3606,3051,3298,3505,3654
3950,5725,3041,4629,4410,4749
4849,3454,4274,5295,4326,4122
5251,4279,4877,5552,4985,4937
4096,2939,6018,5081,3466,3477
2067,1989,1465,1684,1771,1894
991,893,779,953,1039,1065
737,877,417,794,882,885
1681,1802,1011,1426,1641,1728
1375,1227,816,1252,1285,1304
1739,1313,918,1478,1403,1490
940,990,510,906,955,1013
889,837,417,774,878,881
958,880,417,825,913,932
1886,2262,1678,2126,2056,2116
7602,9167,7520,7251,7125,7312
10737,11197,8651,11092,10601,10612
6256,6692,6064,6514,6388,6515
7309,10411,8577,8138,7462,7754
3654,2289,3737,3011,3424,3219
2592,3611,2976,2908,2485,2787
934,939,529,833,883,967
1300,1227,992,1233,1358,1317
1140,1169,714,1134,1228,1272
901,1007,1558,1139,1219,1076
2634,2208,2624,2162,2309,2347
8016,8063,7260,8650,8128,8502
2905,2701,2151,3326,3063,2882
4556,3666,4441,4365,4340,4488
2135,2641,3078,2311,2477,2659
3596,2856,2531,3371,3134,3215
5433,6556,7928,7443,6393,6609
1326,1233,1233,1548,1377,1428
737,805,408,762,814,843
746,869,482,764,840,858
974,1228,1001,1444,1284,1240
1028,1071,733,1051,1087,1176
723,845,427,768,820,862
768,830,519,938,923,897
785,884,566,880,854,870
900,866,603,787,863,914
